Depth(ft),ROP(1 ft),weight on bit (k-lbs),Temp Out( degF),Temp In(degF),Pit Total (bbls),Pump Press (psi),Hookload (k-lbs),Surface Torque (KPa),Rotary Speed (rpm),Flow In (gal/min),Flow Out %,WH Pressure (psi)
243.87,95.35,0,98.56,96.86,199.01,441.23,43.28,55.02,0,1047.53,98.44,-1231.83
244.87,200.32,0,98.4,96.93,199.02,440.08,48.77,55.02,0,1044.68,97.35,-1231.83
245.9,109.32,0,98.79,96.97,198.8,441.61,48.7,54.75,0,1047.93,98.63,-1231.83
246.9,83.86,0,98.75,97.05,197.36,438.18,53.88,55.02,0,1045.09,98.61,-1231.83
247.94,218.74,0,98.75,97.05,196.94,441.61,51.14,54.75,0,1047.73,97.95,-1231.83
248.94,133.55,0,98.9,97.09,196.52,442.37,53.2,55.02,0,1045.69,97.77,-1231.83
249.94,148.74,0,98.9,97.09,196.51,443.13,54.8,55.02,0,1048.13,98.37,-1231.45
250.97,148.74,0,98.82,97.12,196.34,441.61,50.37,55.3,0,1046.1,98.7,-1231.83
251.97,94.89,0,99.05,97.12,196.15,437.79,52.59,55.02,0,1042.65,98.26,-1231.83
253.01,177.08,0,99.09,97.16,195.91,436.27,50.91,55.3,0,1043.46,96.65,-1231.45
254.01,161.67,0,99.01,97.16,195.7,437.41,43.21,55.3,0,1040.2,96.7,-1231.45
255.15,136.15,0,100.58,98.46,186.15,424.83,55.18,61.3,0,1020.85,88,-1231.83
256.22,91.22,0,100.77,98.53,185.45,423.31,61.81,61.57,0,1022.47,85.14,-1231.45
258.1,0,0,100.23,98.8,186.12,19.94,63.18,66.88,0,0,34.46,-1231.83
259.12,521.14,0,98.82,98.53,182.53,438.56,68.83,66.05,0,1036.92,102.03,-1231.83
260.12,428.18,0,98.86,98.57,182.51,437.41,69.28,66.05,0,1036.92,102.94,-1231.83
261.31,475.77,0,98.86,98.61,182.48,439.32,70.43,66.33,0,1034.68,102.64,-1231.45
262.32,277.37,0,98.9,98.73,182.46,439.7,67,66.05,0,1034.89,100.87,-1231.83
263.51,67,0,99.09,99.07,181.73,434.74,68.45,66.33,0,1035.09,99.26,-1231.83
264.54,70.16,0,99.09,99.3,181.7,443.89,49.08,66.33,0,1042.4,97.88,-1231.83
265.7,86.86,0,99.32,99.45,181.43,440.84,46.26,66.33,0,1043.62,97.02,-1231.83
266.76,256.67,0,99.36,99.45,181.41,446.18,51.75,66.33,0,1044.84,95.83,-1231.45
267.86,303.37,0,98.86,99.53,181.4,441.99,63.03,66.33,0,1046.06,94.83,-1231.83
269.01,379.02,0,98.98,99.53,181.44,446.94,46.79,66.33,0,1046.46,94.39,-1231.45
270.05,247.9,0,99.62,99.56,181.33,443.89,62.8,66.33,0,1048.29,94.58,-1231.83
271.08,131.85,0,100.65,99.56,181.4,449.23,61.13,66.61,0,1050.33,93.99,-1231.83
