Depth(ft),ROP(1 ft),weight on bit (k-lbs),Temp Out( degF),Temp In(degF),Pit Total (bbls),Pump Press (psi),Hookload (k-lbs),Surface Torque (KPa),Rotary Speed (rpm),Flow In (gal/min),Flow Out %,WH Pressure (psi)
1631.87,70.38,13.85,123.53,119.85,229.62,622.7,58.83,976.13,94.1,851.03,89.73,8.64
1632.89,47.51,13.98,123.53,119.85,229.48,623.08,58.71,1006.12,86.9,851.03,90.17,8.26
1633.9,41.55,13.77,123.53,119.92,229.89,622.32,58.91,1010.81,88.55,847.96,90.13,8.64
1634.92,36.94,15.89,123.53,119.92,229.92,621.18,56.8,996.4,94.62,852.26,89.29,8.64
1635.94,39.23,18.29,123.53,120,229.84,627.28,54.39,1044.45,95.29,852.67,88.86,8.64
1636.95,22.59,17.17,123.57,120.11,229.98,623.84,55.51,1071,91.29,852.46,88.59,8.64
1637.97,25.97,16.84,123.53,120.19,230.01,618.51,55.84,964.06,97.3,849.6,88.46,8.64
1638.99,36.21,13.4,123.57,120.23,230.37,622.7,59.29,928.55,102.15,850.42,88.42,8.26
1640,49.34,19.99,123.45,120.27,230.41,619.65,52.69,964.27,92.21,850.62,89.03,8.26
1641.02,48.25,17.84,123.64,119.69,229.7,636.81,54.85,981.37,87.11,860.64,88.46,8.64
1642.04,31.26,17.79,123.76,119.81,229.98,635.28,54.89,1002.12,77.59,862.69,81.08,8.64
1643.05,31.86,19.04,123.68,119.92,230.13,644.43,53.64,1208.76,57.09,866.98,82.49,9.41
1644.07,53.85,17.88,123.68,120,230.5,643.67,54.81,1210.9,53.86,864.32,82.4,9.03
1645.09,48.17,17.59,123.64,120.08,230.23,633.38,55.1,1185.66,57.09,864.94,81.34,9.03
1646.1,37.72,18.33,123.61,120.08,230.32,644.81,54.35,1297.91,82.48,866.57,81.83,9.41
1647.14,37.67,22.48,123.53,120.15,230.66,637.95,50.2,1366.73,73.66,862.69,81.78,9.03
1648.16,38.53,22.44,123.22,120.11,230.73,640.62,50.24,1475.87,74.27,866.57,83.37,9.03
1649.17,30.5,21.32,123.11,120.08,230.97,636.43,51.36,1528.14,77.69,864.12,86.66,9.79
1650.21,49.76,20.66,123.07,120.04,231.11,636.81,52.03,1205.87,138,631.49,86.13,8.64
1651.23,66.57,21.9,123.15,120,231.58,641.38,50.78,1182.77,80.16,865.55,82.97,8.64
1652.26,36.21,22.52,123.26,119.92,231.57,639.09,50.16,1230.07,75.92,738.5,81.04,8.64
1653.28,36.97,21.07,123.38,119.88,231.76,637.19,51.61,1237.93,76.37,863.51,81.83,9.03
1654.3,39.79,20.57,123.41,119.88,231.76,639.48,52.11,1058.66,103.65,863.51,81.65,8.64
1655.33,48.45,24.93,123.41,119.88,231.75,638.33,47.75,1167.25,67.74,835.07,81.48,8.64
1656.37,64.33,25.01,123.49,119.85,231.59,641.38,47.67,1242.96,60.17,861.87,80.25,8.64
1657.4,60.16,22.61,123.57,119.88,231.77,641.76,50.08,1158.02,71.61,602.44,81.56,8.64
1658.44,35.19,21.53,123.61,119.96,231.83,642.53,51.16,965.37,95.23,844.89,81.56,8.26
1659.46,34.19,21.07,123.68,119.96,231.68,642.91,51.61,1131.47,81.44,817.06,81.7,9.03
1660.47,27.32,14.89,123.8,120.04,231.45,646.34,57.79,949.3,116.83,803.15,81.43,8.64
1661.49,60.04,20.53,123.8,120.04,231.81,640.24,52.15,922.21,89.65,580.75,81.43,8.26
1662.51,34.84,24.47,123.83,120.08,231.5,639.86,48.21,1031.35,82.75,796.81,80.64,8.26
1663.52,38.92,23.39,123.8,120.15,231.47,624.99,49.29,1032.94,79.24,847.14,80.95,8.64
1664.54,38.1,24.02,123.83,120.19,231.79,624.61,48.67,1070.24,82.08,846.32,80.86,8.64
1665.56,37.32,24.02,123.8,120.23,231.67,621.56,48.67,1020.32,94.07,844.48,83.23,7.88
1666.57,46.61,24.27,123.8,120.3,231.73,600.97,48.42,1062.38,89.28,787.81,81.34,8.26
1667.63,42.18,23.98,123.8,120.3,231.77,630.71,48.71,1078.93,84.76,797.01,83.15,8.64
1668.64,38.5,22.23,123.76,120.34,231.56,631.85,50.45,1052.38,92.33,710.87,82.27,8.26
1669.66,32.37,24.35,123.8,120.34,231.75,637.95,48.34,1016.12,99.1,824.43,83.15,8.64
1670.67,29.98,22.65,123.87,120.38,232.16,631.09,50.04,1020.05,88.4,856.95,83.32,8.26
1671.69,45.73,22.73,123.87,120.38,232.08,680.65,49.95,1033.15,86.38,634.39,85.25,8.26
1672.73,38.84,24.51,123.03,120.65,235.03,688.46,48.17,994.26,89.37,662.29,55.52,7.5
1673.74,32.35,22.74,123.95,119.69,232.82,679.51,51.96,969.02,81.19,779.36,91.1,7.88
1674.76,35.54,23.9,123.68,119.81,233.47,682.94,50.8,960.61,77.11,862.63,88.68,7.88
1675.77,35.87,23.57,123.3,119.92,234.2,682.56,51.13,1018.74,72.32,863.25,86.26,7.88
1676.79,32.38,24.23,122.84,119.96,234.18,685.23,50.47,997.91,75.49,859.98,86.75,7.88
1677.81,36.57,23.4,122.77,119.92,234.33,691.71,51.3,1087.82,64.75,865.71,85.52,7.88
1678.86,31.17,23.07,122.61,119.85,234.64,687.51,51.63,1077.62,68.96,864.9,86.13,7.88
1679.88,42.56,23.69,122.65,119.81,234.68,642.14,51.01,1045.28,80.74,837.66,86.26,7.5
1680.89,36.97,24.61,122.73,119.73,235.91,575.81,50.09,1045.01,83.64,794.77,83.67,7.5
1681.91,40.65,24.44,122.8,119.73,235.78,603.26,50.26,1014.53,87.33,821.97,84.77,7.12
1682.93,35.85,24.61,122.96,119.62,235.76,622.32,50.09,1118.58,77.69,833.41,86.22,7.5
1683.94,45.75,25.52,123.07,119.58,236.08,626.13,49.18,1153.05,92.12,829.32,88.02,7.88
1684.96,38.51,23.98,123.07,119.54,235.75,623.84,50.72,1254.75,84.43,842.83,88.68,7.5
1685.98,40.18,24.81,123.15,119.58,235.83,624.23,49.89,1090.44,96.97,756.89,88.68,7.12
1687.01,33.58,24.85,123.19,119.58,235.86,622.7,49.85,1026.6,92.51,848.96,89.34,7.12
1688.03,41.73,24.27,123.34,119.62,236.3,625.75,50.43,1073.62,82.87,776.13,89.16,6.74
1689.04,54.62,24.65,123.34,119.62,236.22,621.56,50.05,1390.65,67.71,848.55,89.69,7.5
1690.06,58.3,23.44,123.38,119.62,236.33,618.13,51.26,1547.86,65.36,799.25,90.83,7.88
1691.08,50.84,24.36,123.45,119.62,236.4,623.84,50.34,1523.17,75.64,704.72,92.02,7.88
1692.09,32.94,24.94,123.45,119.62,236.19,618.89,49.76,1584.95,72.04,682.83,91.89,7.5
1693.11,29.25,23.23,123.34,119.66,236.42,623.08,51.47,1571.03,72.04,835.05,90.88,7.5
1694.13,29.98,23.86,123.38,119.66,236.58,620.03,50.84,1601.78,76.13,854.49,92.11,7.5
1695.14,32.95,23.61,123.3,119.66,236.59,617.36,51.09,1528.97,87.85,851.83,89.56,7.5
1696.16,42.56,24.81,123.34,119.69,236.49,615.84,49.89,1165.39,52.3,816.23,87.1,6.36
1697.17,30.73,24.07,123.38,119.69,236.66,616.98,50.63,1388.03,72.77,844.87,90.17,7.12
1698.19,35.86,22.99,123.41,119.66,236.74,617.74,51.71,1591.78,74.64,849.38,88.68,7.5
1699.21,33.56,25.06,123.45,119.66,236.74,618.13,49.64,1626.74,81.71,850.81,92.02,7.5
1700.22,27.49,26.14,123.49,119.69,236.77,615.08,48.56,1633.84,75.95,851.63,91.71,7.12
1701.24,29.73,25.15,123.49,119.77,236.67,621.18,49.55,1419.61,102.31,772.65,90.17,6.74
1702.25,31.8,24.73,123.53,119.81,236.79,619.65,49.97,1336.8,90.96,852.85,91.49,6.74
1703.27,26.98,26.47,123.57,119.88,236.57,617.36,48.23,1355.42,95.72,851.83,90.96,6.74
1704.28,29.45,23.98,123.53,119.92,236.62,618.89,50.72,1342.8,92.91,852.85,87.89,6.36
1705.29,25.54,21.66,123,119.43,238.81,608.98,53.04,1247.93,82.93,838.73,85.12,5.21
1706.31,26.92,23.03,122.54,119.35,239.65,609.36,51.67,1275.78,83.15,836.89,83.28,5.21
1707.32,40.64,25.52,122.31,119.43,239.73,608.98,49.18,1309.71,80.86,837.3,80.77,5.21
1708.34,33.27,25.77,122.23,119.47,240.11,605.93,48.93,1318.39,86.2,837.09,80.29,5.59
1709.36,31.53,23.48,122.08,119.47,240.26,603.64,51.22,1318.12,85.41,836.07,79.63,5.59
1710.37,37.72,23.69,122.12,119.43,240.51,608.59,51.01,1350.18,85.37,838.32,79.15,5.21
1711.39,44.11,23.57,122.19,119.39,240.49,606.31,51.13,1352.8,86.32,836.69,78.62,5.59
1712.41,39.68,24.11,122.35,119.35,240.66,603.64,50.59,1333.08,86.87,835.05,79.72,5.59
1713.42,38.13,23.07,122.54,119.31,240.8,607.83,51.63,1346.25,82.57,839.14,80.07,5.97
1714.44,28.59,22.86,122.61,119.31,241.19,604.02,51.84,1307.36,91.84,837.91,80.2,5.59
1715.46,37.73,23.82,122.65,119.35,241.21,606.69,50.88,1337.08,83.45,834.64,81.7,5.59
1716.47,45.2,23.32,122.73,119.35,241.81,607.45,51.38,1310.74,89.74,838.32,83.5,5.59
1717.49,21.4,23.53,122.8,119.39,242.34,600.97,51.17,1288.4,91.84,834.43,87.58,5.21
1718.51,36.24,22.7,122.88,119.39,242.93,603.64,52,1307.36,86.11,837.3,87.67,5.59
1719.52,26.92,25.85,122.92,119.39,243.09,602.49,48.85,1241.1,92.97,835.26,86.13,5.21
1720.54,27.62,24.61,122.92,119.47,243.38,603.26,50.09,1257.17,91.32,832.39,87.27,5.21
1721.56,36.59,24.19,122.96,119.47,243.47,604.02,50.51,1292.33,88.43,835.66,87.19,5.21
1722.57,43.55,24.36,122.96,119.54,243.42,596.01,50.34,1316.26,88.3,832.19,86.4,5.21
1723.59,39.36,24.73,123,119.58,243.41,599.83,49.97,1305.22,91.96,833.82,87.8,5.21
1724.61,32.68,23.61,123.03,119.62,243.41,603.26,51.09,1356.8,85.65,843.64,87.01,5.21
1725.64,33.61,24.52,122.96,119.69,243.42,600.59,50.18,1237.65,88.58,839.14,87.27,5.21
1726.66,34.53,25.44,122.96,119.77,243.63,602.11,49.26,1239.24,85.04,838.73,86.44,4.83
1727.68,38.53,24.15,122.96,119.77,244.02,599.83,50.55,1231.93,85.04,837.5,86.09,5.21
1728.69,39.17,25.77,122.96,119.81,244.06,600.21,48.93,1242.41,79.82,836.07,86.97,5.21
1729.71,34.21,24.4,122.96,119.85,244.21,605.16,50.3,1233.45,84.22,836.69,86.35,4.83
1730.73,30.75,24.44,123,119.85,244.08,601.73,50.26,1244.55,80.89,833.21,86.26,5.21
1731.74,27.17,25.06,123.07,119.92,244.25,598.68,49.64,1235.03,83.06,833.21,86.4,5.21
1732.76,34.87,24.52,123.07,119.88,244.81,603.26,50.18,1246.34,84.25,831.57,86.18,5.21
1733.8,28.04,26.06,123.11,119.92,244.77,608.98,48.64,1202.21,82.51,845.49,89.29,5.21
1734.81,28.36,22.49,123.19,119.96,244.84,604.4,52.21,1241.38,87.33,835.46,84.73,5.21
1735.84,32.42,23.82,123.34,119.12,245.04,629.18,50.88,1275.3,75.7,833.54,89.8,4.83
1736.88,30.31,25.35,123.26,119.31,244.98,630.33,49.35,1298.4,82.14,835.17,88.79,4.83
1737.89,60.03,24.23,123,119.39,244.99,625.75,50.47,1300.74,80.37,833.13,88.97,4.83
1738.91,39.78,22.99,122.92,119.5,244.93,628.04,51.71,1269.99,85.65,833.33,88.48,4.83
1739.93,39.34,24.31,122.77,119.54,245.19,627.66,50.39,1300.53,78.54,833.94,88.75,4.83
1740.94,31.01,25.19,122.42,119.62,245.18,627.28,49.51,1258.48,85.77,832.92,89.27,4.45
1741.96,35.18,22.65,122.16,119.66,244.98,626.89,52.05,1262.89,80.13,832.31,89.14,4.83
1742.98,44.63,23.11,122.08,119.62,245.23,629.94,51.59,1275.78,75.86,834.97,87.78,4.45
1743.99,42.06,23.4,122.04,119.58,245.49,629.18,51.3,1295.23,72.65,832.51,87.25,4.45
1745.01,69.09,22.45,122.19,119.54,245.66,625.75,52.25,1276.33,81.04,831.28,88.92,4.45
1746.05,74.64,22.99,122.27,119.5,245.68,624.61,51.71,1322.05,78.63,831.28,88.79,4.45
1747.06,67.81,23.36,122.31,119.43,245.9,624.99,51.34,1242.41,80.28,830.67,89.49,4.45
1748.08,57.19,23.61,122.39,119.43,246.06,626.51,51.09,1135.4,97.7,831.08,88.83,4.45
1749.12,62.17,22.86,122.42,119.47,245.52,625.37,51.84,1005.84,90.26,830.87,90.46,4.07
1750.13,53.05,22.61,122.5,119.47,245.54,628.42,52.09,1027.36,87.21,832.1,90.42,3.69
1751.15,33.56,22.49,122.54,119.5,245.52,626.89,52.21,1003.71,87.05,830.67,89.98,3.69
1752.17,25.77,23.23,122.65,119.5,245.44,627.66,51.47,1009.22,84.79,830.67,90.06,3.69
1753.18,65.36,23.32,122.65,119.5,245.51,627.28,51.38,1026.04,84.95,830.88,89.8,4.07
1754.2,65.4,21.74,122.69,119.54,245.53,626.89,52.96,1160.43,65.36,829.85,89.1,4.07
1755.22,57.2,23.77,122.84,119.54,245.57,624.23,50.93,1020.53,88.09,828.62,89.67,4.07
1756.23,64.24,24.27,122.8,119.58,245.51,625.37,50.43,1006.88,87.94,829.03,90.55,4.07
1757.25,33.25,23.86,122.8,119.62,245.11,625.37,50.84,1099.13,74.12,828.21,89.54,4.07
1758.27,35.51,21.82,123,119.66,245.4,623.08,52.88,1109.13,73.87,827.19,90.68,4.07
1759.28,60.91,24.48,122.92,119.69,245.51,623.46,50.22,1145.67,74.57,827.19,87.78,3.69
1760.3,41.12,23.36,122.92,119.77,245.52,621.56,51.34,1062.11,77.32,825.96,88.83,3.69
1761.32,41.43,23.86,122.92,119.81,245.23,625.75,50.84,1001.64,87.54,828.01,87.47,3.69
1762.35,49.71,22.57,122.88,119.85,245.34,623.84,52.13,1024.53,78.6,826.17,88.44,3.31
1763.37,47.26,22.9,122.88,119.88,245.2,623.08,51.8,987.43,88.76,825.96,89.01,3.31
1764.39,34.73,23.9,122.92,119.92,245.11,625.37,50.8,1144.91,66.76,826.17,89.27,3.69
1765.4,41.58,23.94,122.88,119.96,245.09,624.61,50.76,1021.08,89.37,825.55,89.71,3.31
1766.42,36.95,24.94,122.96,120,245.01,618.51,49.76,1019.49,92.45,823.3,89.98,3.31
1767.43,38.91,23.48,122.84,119.31,244.08,627.66,51.22,803.13,102.09,838.13,88.92,2.92
1768.45,42.06,23.36,122.88,119.35,244.12,627.66,51.34,772.65,102.95,838.74,89.84,2.54
1769.48,46.05,22.99,122.92,119.43,244.18,624.61,51.71,802.65,90.59,836.08,90.72,2.54
1770.5,47.54,24.52,123,119.5,244.08,623.08,50.18,848.64,95.72,835.47,90.28,2.92
1771.52,39.36,23.11,123.07,119.62,244.05,619.27,51.59,1195.87,50.01,828.11,89.1,3.31
1772.53,32.4,23.73,123.22,119.73,244.07,617.36,50.97,1168.01,77.81,828.72,89.49,3.31
1773.57,27.21,25.23,123.07,119.88,244.12,617.36,49.47,1055.28,97.43,827.29,89.27,2.92
1774.59,42.57,24.11,122.96,119.92,244.28,621.18,50.59,1030.53,89.4,830.77,89.27,3.31
1775.6,37.74,23.03,122.8,120,244.21,618.89,51.67,1017.43,93.52,831.17,89.32,2.92
1776.62,30.25,23.57,122.54,120,244.45,617.74,51.13,1071.55,84.73,828.52,87.82,3.31
1777.64,26.72,23.23,122.54,120,244.43,614.69,51.47,1085.48,87.24,827.49,88.09,2.54
1778.69,24.19,24.65,122.58,119.96,244.83,620.79,50.05,1185.87,89.16,832.81,87.82,3.31
1779.71,52.31,22.94,122.54,119.96,244.83,620.03,51.76,1094.44,108.44,829.74,88.22,2.92
1780.73,39.78,22.74,122.61,119.92,244.53,618.89,51.96,1099.68,99.78,832.61,87.6,2.92
1781.74,35.86,23.98,122.61,119.92,244.63,609.74,50.72,1030.25,97.43,827.08,86.64,2.92
1782.76,33.28,22.4,122.88,119.92,244.6,617.74,52.3,1097.34,83.3,832.2,85.89,2.92
1783.78,48.45,22.86,122.92,119.96,244.52,612.41,51.84,1074.72,86.29,827.49,85.01,2.92
1784.79,44.1,22.07,123,119.96,244.78,613.17,52.63,1535.52,71.61,827.9,87.25,4.07
1785.81,28.81,24.07,123.19,119.96,244.02,617.36,50.63,1561.03,74.57,833.01,89.71,3.69
1786.83,36.23,22.82,123.15,120.08,244.21,610.88,51.88,1617.57,65.73,823.61,88.75,3.69
1787.84,29.27,23.9,123.22,120.11,244.06,619.27,50.8,1578.61,70.58,829.33,91.16,3.31
1788.86,33.27,23.19,123.3,120.15,244.13,614.69,51.51,1772.64,66.79,826.27,91.03,4.07
1789.88,35.53,23.9,123.3,120.19,244.01,611.64,50.8,1662.25,78.48,826.06,84.22,3.69
1790.89,24.88,22.82,123.22,120.23,244.01,613.17,51.88,1661.14,82.35,825.86,85.36,3.31
1791.91,35.19,23.77,123.26,120.23,243.72,613.17,50.93,1715.61,74.67,828.72,90.68,3.69
1792.92,34.85,24.56,123.26,120.27,244.03,618.51,50.14,1677.97,77.41,828.31,89.19,3.69
1793.94,26.13,22.4,123.38,120.3,243.77,610.5,52.3,1679.83,80.19,822.99,89.58,3.31
1794.96,24.07,23.98,123.38,120.34,243.35,613.17,50.72,1705.06,81.8,825.04,90.9,3.31
1795.97,17.26,24.52,123.49,120.34,243.33,615.46,50.18,1634.39,86.63,825.65,89.76,3.31
1796.99,16.93,25.1,123.61,120.42,243.4,614.31,49.6,1671.14,78.75,824.22,89.45,3.31
1797.99,23.16,24.23,123.91,120,241.82,646.72,50.47,1210.62,77.66,831.31,88.92,2.16
1799.01,12.83,21.45,123.91,120.69,242.2,644.05,53.25,1257.37,76.07,830.28,87.38,2.16
1800.03,17.34,23.9,123.45,120.8,242.45,637.57,50.8,1350.45,87.88,827,88.04,2.54
1801.04,40.99,22.24,123.19,120.84,242.26,634.9,52.46,1437.75,74.15,825.98,87.43,2.54
1802.06,36.24,23.57,123.07,120.84,242.56,640.62,51.13,1436.16,83.21,826.39,87.65,2.54
1803.1,31.35,25.1,123.03,120.76,242.43,639.09,49.6,1411.68,85.56,828.23,86.86,2.54
1804.11,18.21,24.81,123.34,120.69,242.49,645.19,49.89,1353.9,94.53,830.28,89.67,2.54
1805.13,11.44,25.81,123.49,120.65,242.62,643.29,48.89,1386.24,89.4,830.28,89.23,2.16
1806.15,10.76,22.16,123.83,120.69,242.29,641,52.54,943.51,84.37,828.85,88.61,1.4
1807.16,14.76,22.86,123.99,120.84,242.99,642.14,51.84,900.97,88.4,829.26,83.87,1.4
1808.18,26.15,21.99,124.1,120.88,242.94,644.81,52.71,969.85,91.72,830.08,85.32,1.78
1809.2,52.32,22.99,124.1,120.95,242.9,644.43,51.71,1005.84,91.66,829.67,87.08,1.4
1810.21,18.67,21.37,124.1,121.03,242.52,644.05,53.33,1043.14,84.98,829.87,87.69,1.78
1811.23,24.08,22.86,124.14,121.14,242.25,644.43,51.84,976.68,89.37,829.26,88.83,1.4
1812.25,38.95,22.99,124.14,121.14,242.69,640.62,51.71,992.95,89.07,828.03,91.78,1.4
1813.26,42.08,21.74,124.1,121.22,242.7,642.53,52.96,942.2,92.91,828.64,82.91,1.4
1814.3,32.42,22.99,124.06,121.26,242.69,640.24,51.71,994.53,78.45,828.44,89.49,1.4
1815.32,31.56,23.61,124.1,121.3,242.68,637.57,51.09,1018.74,78.36,826.18,90.06,1.4
1816.33,30.76,22.74,124.14,121.33,242.69,635.28,51.96,977.16,86.41,824.34,88.44,1.02
1817.35,39.43,23.32,124.14,121.37,242.98,634.52,51.38,976.68,81.13,823.93,89.27,1.02
1818.39,33.59,24.81,124.22,121.41,242.98,635.66,49.89,992.95,79.94,824.55,89.67,1.02
1819.4,33.89,22.74,124.25,121.45,242.68,634.52,51.96,944.82,86.66,824.55,90.2,1.4
1820.42,27.52,24.44,124.25,121.45,242.97,635.66,50.26,946.68,86.69,824.55,89.58,1.4
1821.44,30.25,23.73,124.29,121.45,242.99,636.43,50.97,974.54,81.53,824.55,90.2,1.4
1822.47,29.14,24.19,124.33,121.41,242.98,639.86,50.51,981.37,81.26,826.19,88.48,1.4
1823.53,24.66,22.57,124.37,121.45,244.58,640.62,52.13,995.57,77.5,825.78,87.91,1.78
1824.54,28.38,23.44,124.44,121.52,242.4,642.14,51.26,1008.74,79.79,824.35,83.78,1.4
1825.56,25.24,21.45,124.44,121.68,242.98,639.86,53.25,938.82,90.56,825.78,90.24,1.02
1826.6,23.88,24.36,124.44,121.79,242.98,639.09,50.34,922,80.16,825.58,90.15,1.02
1827.61,23.76,21.86,124.56,121.83,242.96,638.71,52.84,976.13,75.55,826.4,90.42,1.4
1828.63,27.72,22.45,124.56,121.87,242.96,642.53,52.25,926.69,82.32,827.83,90.06,1.4
1829.64,18.96,18.33,124.63,121.94,243.99,642.91,56.37,935.65,83.06,832.33,89.67,1.4
1830.66,29.76,21.12,124.41,122.52,238.59,557.89,53.58,726.39,102.58,775.31,88.79,0.26
1831.67,28.36,20.83,124.52,122.71,238.16,632.99,53.87,690.4,95.23,847.51,91.51,-0.13
1832.69,26.51,21.28,124.67,122.82,238.14,629.56,53.42,772.38,96.91,848.13,90.15,0.26
1833.71,18.45,6.71,124.41,123.01,238.54,632.23,67.99,471.41,167.93,856.92,90.59,-0.13
1834.78,39.9,18.58,124.22,123.05,238.57,634.9,56.12,671.71,117.96,861.42,89.36,0.26
1835.8,33.02,24.23,124.29,123.05,238.66,647.48,50.47,756.66,91.96,876.97,84.09,0.26
1836.82,25.97,20.04,124.52,122.97,238.57,642.53,54.66,760.86,100.93,873.9,83.52,0.26
1837.83,26.45,19.33,124.83,123.01,239.28,639.86,55.37,676.74,88.4,874.11,85.1,-0.13
1838.87,31.05,19.79,124.86,123.16,239.11,642.53,54.91,697.5,85.44,872.06,86.2,-0.13
1839.88,24.5,24.48,124.98,123.32,238.88,642.14,50.22,720.87,87.54,865.92,86.95,-0.13
1840.9,20.12,20.99,125.28,123.39,238.7,645.96,53.71,685.91,104.81,864.9,87.91,0.26
1841.92,20.6,16.71,125.36,123.51,238.9,643.67,57.99,558.7,125.1,863.26,90.85,-0.13
1842.94,22.05,22.99,125.47,123.54,239.12,637.95,51.71,710.39,81.56,864.29,89.27,0.64
1843.95,15.64,20.83,125.78,123.62,238.91,636.81,53.87,680.4,109.93,864.7,92.3,0.26
1844.97,24.32,22.16,125.85,123.7,238.93,642.91,52.54,774.52,80.71,869.2,90.81,0.64
1845.98,32.7,22.24,125.93,123.77,239.23,641,52.46,731.9,81.93,864.29,91.43,0.26
1847,37.71,21.41,125.97,123.81,238.93,638.33,53.29,692.46,110.12,871.86,91.43,0.26
1848.04,24.67,6.21,126.16,123.89,239.25,644.81,68.49,409.91,178.86,874.11,91.29,-0.51
1849.07,17.95,23.44,126.31,123.93,239.28,652.44,51.26,714.05,102.64,874.93,86.46,0.64
1850.11,31.11,21.32,126.43,124,239.27,642.14,53.38,685.16,104.66,875.95,90.28,0.26
1851.15,39.71,25.35,126.46,124.04,239.27,646.34,49.35,726.11,111.09,874.11,90.28,0.64
1852.17,22.06,16.55,126.58,124.08,239.29,641.38,58.15,587.87,125.65,871.24,93.23,0.26
1853.2,56.56,22.53,126.62,124.12,239.33,680.27,52.17,720.11,100.23,857.12,91.29,0.64
1854.24,46.08,26.02,126.66,124.12,239.3,640.24,48.68,680.12,113.11,869.81,90.5,0.64
1855.26,24.09,19.58,126.73,124.19,239.42,640.62,55.12,628.07,114.97,868.58,90.94,0.64
1856.27,37.35,18.75,126.77,124.27,239.59,644.43,55.95,682.74,113.11,869.81,91.12,1.02
1857.29,49.37,20.49,126.85,124.27,239.71,638.71,54.21,683.02,105.91,867.77,89.98,0.64
1858.31,18.86,8.41,126.92,124.38,240.14,639.09,66.29,424.87,122.08,868.58,93.4,0.26
1859.38,24.04,18.38,127,124.42,240.23,640.62,56.32,588.9,112.35,869.4,91.29,0.64
1860.4,36.62,22.07,127.04,124.46,240.39,641,52.63,660.13,98.74,871.24,91.07,0.64
1861.46,32.83,20.49,127.07,124.5,240.43,641.38,54.21,625.45,99.07,871.04,90.59,0.64
1862.64,44.12,23.61,126.27,124.57,245.63,637,51.09,174.1,0,0,6.88,-0.51
1862.64,44.12,23.61,126.27,124.57,245.63,637.51,51.09,174.1,0,0,6.88,-0.51
1863.65,71.93,16.22,127.15,123.74,241.07,633.76,58.48,519.81,75.89,837.91,90.72,1.78
1864.67,24.42,14.93,127.19,123.85,241.51,637.95,59.77,571.04,94.71,841.99,91.21,1.4
1865.68,30.49,18.83,127.07,123.93,242.03,630.71,55.87,638.34,75.76,834.63,90.33,1.78
1866.7,24.07,19.33,126.85,124.04,242.35,631.09,55.37,678.26,64.63,835.86,90.15,1.78
1867.71,20.01,18.46,126.66,124.15,242.41,631.85,56.24,790.51,77.9,834.63,85.63,2.16
1868.73,24.73,18.46,126.73,124.15,242.16,634.52,56.24,908.28,80.46,835.86,88.09,2.54
1869.75,20.9,20.45,126.54,124.19,242.07,633.76,54.25,893.32,88.4,838.31,82.07,2.54
1870.76,21.39,22.16,126.39,124.15,242.36,625.37,52.54,890.14,89.25,840.98,84.97,2.54
1871.78,21.18,23.44,126.58,124.12,242.07,631.09,51.26,1017.43,71.98,844.45,85.5,2.92
1872.8,26.71,22.99,126.62,123.96,242.05,629.56,51.71,1571.51,79.85,845.07,87.03,4.07
1873.81,24.23,21.99,126.73,123.96,242.34,630.71,52.71,1215.31,113.78,841.59,85.94,3.31
1874.83,17.18,22.99,126.85,123.93,242.04,628.04,51.71,926.69,81.74,844.24,86.81,2.92
1875.85,26.51,24.69,127,123.89,242.57,633.76,50.01,973.23,91.93,844.45,85.01,2.92
1876.86,27.93,22.2,127,123.89,243.18,636.04,52.5,987.16,88.3,852.02,86.02,3.31
1877.88,30.75,23.48,127,123.89,243.07,636.43,51.22,966.95,91.66,865.32,83.74,3.31
1878.91,31.07,25.06,127.11,123.89,243.02,645.19,49.64,934.62,97.79,863.27,85.45,2.92
1879.93,32.97,19.25,127.15,123.93,243.1,635.28,55.45,976.88,93.67,853.86,84.75,2.92
1880.95,28.93,20.87,127.27,123.96,243.07,634.52,53.83,959.3,96.72,854.27,86.73,3.31
1881.96,36.62,21.08,127.34,124,242.43,630.33,53.62,941.93,98.71,849.36,86.77,3.31
1882.98,29.82,21.2,127.3,124.04,242.39,633.76,53.5,945.65,94.99,850.79,86.55,3.31
1884.02,24.7,21.82,127.34,124.12,242.48,635.28,52.88,948.82,96.91,849.97,85.94,3.31
1885.03,29.75,22.36,127.38,124.12,242.45,636.43,52.34,1241.38,67.43,848.13,86.42,3.69
1886.05,30.25,21.57,127.38,124.15,242.37,640.24,53.13,1495.32,74.91,854.27,84.09,4.45
1887.07,41.11,21.37,127.53,124.19,242.37,632.23,53.33,1374.1,96.11,850.79,87.34,4.45
1888.08,29.04,20.74,127.68,124.27,242.38,635.66,53.96,1055.49,146.03,852.22,89.76,3.31
1889.12,51.1,19.66,127.68,124.31,242.39,638.33,55.04,1120.71,139.35,849.77,90.72,3.69
1890.14,27.72,21.32,127.68,124.38,242.14,633.38,53.38,903.31,98.4,846.7,87.03,3.31
1891.15,34.53,20.87,127.61,124.46,242.13,634.9,53.83,890.97,96.27,849.36,84.27,3.31
1892.17,26.72,21.91,127.61,124.5,242.08,638.33,52.79,978.75,76.92,850.38,89.98,3.31
1893.19,23.45,22.28,127.53,124.54,242.09,639.86,52.42,855.74,98.4,850.38,89.54,3.31
1894.2,26.14,22.86,127.57,124.5,242.11,641,51.84,895.94,92.03,851.4,89.01,3.31
